Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
33641148,Những Ngày Thứ Ba với Thầy Morrie,Mitch Albom,"Albom, Mitch",Trần Minh Tâm,"=""""","=""""",3,4.21,,Paperback,,,1997,2026/03/15,2025/04/09,,,read,"3*: like it<br/>Cũng được được thôi, tuổi trẻ nên đọc.<br/>kiểu ... Hãy thử một lần kết hôn, hãy sinh con để có cảm giác yêu thương, che chở, chịu trách nhiệm cho một người khác...<br/>Ờ, nhưng có đơn giản vậy đâu :)<br/>Nói chung, dành cho số đông là vậy, còn lúc nào cũng có vài trường hợp khác biệt.",,,1,0
216848477,Chuyện Kể Về Tình Yêu Và Bóng Tối,Amos Oz,"Oz, Amos",Nguyễn An Lý,"=""""","=""""",0,4.23,Nhã Nam & NXB Hội Nhà Văn,Paperback,780,2024,2002,,2026/03/14,to-read,to-read (#264),to-read,,,,0,0
17193283,Kẻ Nhắc Tuồng,Donato Carrisi,"Carrisi, Donato",Hoàng Anh,"=""6045610393""","=""9786045610398""",0,4.18,Nxb. Phụ Nữ,Paperback,516,2013,2009,,2026/03/14,to-read,to-read (#263),to-read,,,,0,0
17233988,Một ngày trong đời của Ivan Denisovich,Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr","Thạch Chương, Trần Lương Ngọc","=""""","=""""",0,3.98,Nguồn Sáng,Paperback,200,1970,1962,,2026/03/14,to-read,to-read (#262),to-read,,,,0,0
241893072,Mưa suốt đêm dài,Buddhadeva Bose,"Bose, Buddhadeva","বুদ্ধদেব বসু, Lê Phiên Phi, Thanh Đình","=""6320100346""","=""9786320100347""",0,3.76,"NXB Lao Động, IPM",Paperback,172,2025,1967,,2026/03/14,to-read,to-read (#261),to-read,,,,0,0
213292909,Đời ai nấy chết,Hans Fallada,"Fallada, Hans",Hoàng Đăng Lãnh,"=""6043472392""","=""9786043472394""",0,4.27, NXB Hội nhà văn & Tao Đàn,Paperback,700,2024,1947,,2026/03/14,to-read,to-read (#260),to-read,,,,0,0
201973224,Tiếng chó tru trong đêm,Erle Stanley Gardner,"Gardner, Erle Stanley",Trần Nguyên,"=""6043340127""","=""9786043340129""",0,4.06,NXB Thanh Niên & Phúc Minh,Paperback,296,2023,1934,,2026/03/14,to-read,to-read (#259),to-read,,,,0,0
46213176,Người đàn bà trong đêm,Cornell Woolrich,"Woolrich, Cornell","William Irish, Nguyễn Thị Hạnh","=""""","=""""",0,3.90,"Phúc Minh, NXB Văn Học",Paperback,344,2019,1942,,2026/03/14,to-read,to-read (#258),to-read,,,,0,0
239658419,Bánh ngọt và rượu bia,W. Somerset Maugham,"Maugham, W. Somerset",Nguyễn Đặng Hồng Chương,"=""6044977048""","=""9786044977041""",0,3.77,NXB Hội nhà văn & Nhã Nam,Paperback,312,2025,1930,,2026/03/14,to-read,to-read (#257),to-read,,,,0,0
243245568,Địa đàng xa lối,Evelyn Waugh,"Waugh, Evelyn",Thái Thuận Hòa,"=""6044904903""","=""9786044904900""",0,4.00,NXB Phụ nữ Việt Nam & Phanbook,Paperback,380,2025,1945,,2026/03/14,to-read,to-read (#256),to-read,,,,0,0
236011401,Chặng Cuối,Graham Norton,"Norton, Graham",,"=""""","=""""",0,4.09,,Paperback,376,2024,2020,,2026/03/14,to-read,to-read (#255),to-read,,,,0,0
219105753,Sát thủ chim én,Morgan Audic,"Audic, Morgan",Hoàng Anh,"=""6044903389""","=""9786044903385""",0,4.10,NXB Phụ nữ Việt Nam,Paperback,540,2024,2019,,2026/03/14,to-read,to-read (#254),to-read,,,,0,0
23472512,Bảo tàng ngây thơ,Orhan Pamuk,"Pamuk, Orhan",Giáp Văn Chung,"=""6046932092""","=""9786046932093""",0,3.78,NXB Văn học,Paperback,481,2014,2008,,2026/03/11,to-read,to-read (#253),to-read,,,,0,0
59637787,"Phi Châu Thịnh Vượng - Lịch Sử 5.000 Năm Của Sự Giàu Có, Tham Vọng Và Nỗ Lực",Martin Meredith,"Meredith, Martin","Nguyễn Sinh Viện, Nguyễn Hoàng Minh, Đỗ Hoàng","=""6047799442""","=""9786047799442""",0,4.17,NXB Thế Giới ,Hardcover,936,2021,2014,,2024/06/09,currently-reading,currently-reading (#14),currently-reading,,,,1,0
24617873,"Mùi hương trầm: Ký sự du hành tại Ấn Độ, Trung Quốc và Tây Tạng",Nguyễn Tường Bách,"Bách, Nguyễn Tường",,"=""6046310873""","=""9786046310877""",0,4.23,NXB Phương Đông,Paperback,444,2015,2003,,2026/03/05,to-read,to-read (#252),to-read,,,,0,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj, Léon Tolstoï","=""0345803922""","=""9780345803924""",3,4.10,Vintage,Paperback,964,2012,1878,2026/02/14,2024/06/15,,,read,"Không biết tại sao đặt tên sách là Anna Karenina...<br/>Vì thực sự không tả rõ hoàn cảnh vợ chồng Anna trước khi kết hôn, mình không rõ ông chồng xấu xí tới mức nào mà Anna hành xử như vậy.<br/>và, Ủa Anna... sao Anna cũng cố tình với Levin... trong tâm tưởng ấy.",,,1,0
50826844,Bức tranh Dorian Gray,Oscar Wilde,"Wilde, Oscar",Thiên Lương,"=""604982908X""","=""9786049829086""",3,4.14,Bách Việt & NXB Văn Học,Hardcover,416,2019,1890,2026/02/21,2025/03/29,,,read,"Woww<br/>Một lối đi rất khác, không vào đường mòn.<br/>Nó chẳng cần một cú twist nào cả. Sự An toàn của mỗi người nằm ở trong chính tâm hồn của họ.<br/><br/>“Ta không bao giờ nên làm những gì mà ta lại không thể kể lại sau bữa tối” -  nhưng cũng tương đối thôi, vì con người luôn thay đổi, định nghĩa của những việc xấu cũng thay đổi theo thời gian. <br/><br/>""Không phải ""Xin tha tội cho chúng con,"" mà ""Hãy trừng trị chúng con vì các lỗi lầm"" mới nên là lời cầu nguyện của con người với Thiên Chúa rất mực công bằng.""<br/>- Oscar Wilde-￼",,,1,0
29426640,Hai Vạn Dặm Dưới Đáy Biển,Jules Verne,"Verne, Jules",,"=""""","=""""",2,3.89,Hà Nội,Paperback,451,2019,1869,2026/02/26,2020/11/12,,,read,"Không phải kiểu của mình.<br/>Nếu xem phim thì chắc thú vị hơn.<br/>Có bối cảnh, có miêu tả, sinh động hơn. ",,,1,0
12161911,Đội gạo lên chùa,Nguyễn Xuân Khánh,"Khánh, Nguyễn Xuân",,"=""""","=""""",3,4.49,NXB Phụ Nữ,Paperback,868,2011,2011,2026/03/05,2024/06/07,,,read,"4* cho nửa đầu và 2.5* cho nửa cuối.<br/>Thực sự là, tại sao đọc cuốn về chùa lại nặng nề, lại buồn đến thế?<br/><br/>""Vậy nên mới nói, bất cứ người Việt nào cũng có chút Phật giáo trong người""",,,1,0
12091253,Mẫu thượng ngàn,Nguyễn Xuân Khánh,"Khánh, Nguyễn Xuân",,"=""""","=""""",0,4.36,NXB Phụ nữ,Paperback,822,2006,2006,,2026/03/01,to-read,to-read (#251),to-read,,,,0,0
245942830,Người phụ tá,Robert Walser,"Walser, Robert",Anh Hoa,"=""6320305088""","=""9786320305087""",0,3.98,NXB Lao Động & Vita Nova,Paperback,280,2025,1908,,2026/02/26,to-read,to-read (#250),to-read,,,,0,0
48911717,Những điều nhỏ bé vĩ đại,Jodi Picoult,"Picoult, Jodi",Trương Hoàng Uyên Phương,"=""6041149861""","=""9786041149861""",0,4.36,Nhà xuất bản Trẻ,Paperback,738,2019,2016,,2026/02/26,to-read,to-read (#249),to-read,,,,0,0
218515473,Đừng bao giờ nói dối,Freida McFadden,"McFadden, Freida",Thanh Hoa,"=""""","=""""",0,4.08,NXB Văn học & Mintbooks,Paperback,348,2024,2022,,2026/02/20,to-read,to-read (#248),to-read,,,,0,0
17983916,Lưới Trời Ai Dệt?,Nguyễn Tường Bách,"Bách, Nguyễn Tường",,"=""""","=""""",4,4.52,Nhà Xuất Bản Trẻ,Paperback,376,2011,2011,2026/01/27,2025/11/27,,,read,"Sau vài chương đầu, mình còn đi tra xem tên gốc của cuốn này là gì, vì cứ nghĩ sách được dịch lại từ nước ngoài.<br/>Cảm ơn bác Ng Tường Bách đã viết ra bằng tiếng Việt để mình có thể hiểu được một phần nào. Một cuốn sách về khoa học, vật lý, định luật, lịch sử... mà không dùng tới công thức để miêu tả, vì tác giả thực sự đã diễn đạt rất nhuần nhuyễn bằng ngôn từ.<br/>Một cuốn sách khiến mình trầm trồ, và có cảm giác muốn được chia sẻ, được thảo luận về nó, nhưng mà thực sự là vẫn khó hiểu, mình hơi bị mất kết nối ở 1/4 cuối.<br/><br/>Bình thường, 1 ngày có thể đọc hơn 100 trang, nhưng cuốn này 1 ngày chỉ đọc được 30 trang :)",,,1,0
13147425,Tắt Đèn,Ngô Tất Tố,"Tố, Ngô Tất",,"=""""","=""""",3,4.18,Nhà Xuất Bản Kim Đồng,Paperback,316,2006,1937,2026/01/17,2026/01/17,,,read,Đang yên đang lành lại đi đọc chị Dậu làm chi :(,,,1,0
61955999,Vũ điệu quỷ Satan,László Krasznahorkai,"Krasznahorkai, László",Giáp Văn Chung,"=""604372135X""","=""9786043721355""",0,4.07,NXB Văn học & Nhã Nam,Paperback,376,2022,1985,,2026/01/16,to-read,to-read (#247),to-read,,,,0,0
36671035,Con Sẻ Vàng,Donna Tartt,"Tartt, Donna",Nguyễn An Lý,"=""""","=""""",5,3.97,Omega Plus & NXB Thế Giới,Hardcover,932,2017,2013,2026/01/16,2025/09/26,,,read,"[ebook]<br/>Uầy, cái bìa của nó làm mình tưởng nó là sách từ những năm 18xx, 19xx<br/>Sách nhiều cú twist, nghẹt thở đau tim.<br/>Đoạn cậu bé 12 tuổi về nhà chờ mẹ, thực sự á, đỉnh dã man. ",,,1,0
58939872,"The Long Game (Game Changers, #6)",Rachel  Reid,"Reid, Rachel",,"=""1335458522""","=""9781335458520""",0,4.52,Carina Press,Mass Market Paperback,479,2022,2022,,2026/01/11,,,read,"Someone said this chapter break Ilya, No, I don't think so.<br/>OMG, <br/>Ilya is Russian, and Shane is Canadian.<br/>Ilya, obviously, fully embodies the qualities of a Russian: an innate talent, sensitivity, and depth. Ilya possesses observational skills, communication abilities, and leadership qualities.<br/><br/>Ilya simply chose Ottawa, but he succeeded. Of course, there are many other factors, but Ilya is capable of building a team, reviving a bottom-ranked team to become a leader. Challenges, losses, and initial failures are inevitable, and they are the first building blocks, laying the foundation for Ilya's future.<br/><br/>Oh, Shane, Shane is so boring.<br/><br/>I really enjoyed this book because the character of Ilya is well-developed. Their conflicts stem from differences in their thinking and their worldview. Thankfully, no ""third person"" is brought between them. I like how they fall in love; it's quite idealistic and fitting for fanfiction.<br/><br/>But I also found them a bit too much, a bit too obsessed with each other. Was it really necessary? I almost scrolled through the steamy scenes. I liked the lines ""I miss you,"" ""I love you""... but in moderation.<br/><br/>I liked how Ilya occasionally expressed his feelings in Russian and how Shane tried to understand.<br/>Ilya is incredibly interesting. Ilya keeps the photos; Ilya has memories.",,,1,0
41735449,"Heated Rivalry (Game Changers, #2)",Rachel  Reid,"Reid, Rachel",,"=""1488051240""","=""9781488051241""",0,4.28,Carina Press,ebook,375,2019,2019,,2026/01/11,,,read,"I will not rate this series because, based on my view, this is not a literary work; this is just fanfiction.<br/>I found this film before reading the book; in this case, I evaluated that the film is better than the book. (opposite to the other case).<br/>There is only one thing, maybe, the difference in the culture, I don't understand why Shane freaked out at the ep 4, like, oh, they meet each other for 5 years, they text, chat, waiting for each other, and suddenly feel in another way? It was explained when I read more in book. <br/>In this book, I'm heartbroken for Shane, because of the moment ""We didn't even kiss"", the way he was waiting for Ilya after 6 months without any response.  It's not hard to explain, because Shane's life is too simple; Shane only has a crush on Ilya, and that's all he can focus on. And, quite childishly, Ilya was right; the world doesn't revolve around you, Shane.",,,1,0
6652169,Và Khi Tro Bụi,Đoàn Minh Phượng,"Phượng, Đoàn Minh",,"=""""","=""""",4,4.06,NXB Trẻ,Paperback,188,2007,2007,2026/01/04,2026/01/04,,,read,"Wow, một câu chuyện rất lạ, rất khác.<br/>Đặc biệt là tới từ tác giả Việt.",,,1,0
55362551,Bài Thơ Của Một Người Yêu Nước Mình,Trần Vàng Sao,"Sao, Trần Vàng",,"=""6049977208""","=""9786049977206""",0,4.03,Nhã Nam,Hardcover,210,2019,,,2026/01/03,to-read,to-read (#246),to-read,,,,0,0
25358457,Tu Viện Thành Parme,Stendhal,"Stendhal, Stendhal",Huỳnh Lý,"=""""","=""""",3,3.78,NXB Văn Học,Hardcover,754,2001,1839,2026/01/03,2015/10/27,,,read,"[Ebook]<br/>3.5<br/>Nó kiểu không có giọng văn hay lắm ấy, mà nội dung nó hơi lê thê ...",,,1,0
12134990,Thời Xa Vắng,Lê Lựu,"Lựu, Lê",,"=""""","=""""",4,3.92,NXB Văn Học,Paperback,388,,1986,2025/12/29,2025/04/09,,,read,"[Ebook]<br/>3.5<br/>Kịch bản hay thật đó.<br/>Nhưng mà mình không thể hiểu nổi Sài là con người như nào, dù xuất thân từ nông thôn, nhưng cũng là con ông Đồ, là người được ăn được học - học cao, có tư duy. Ngay tới anh trai Sài là anh Tính cũng rất khéo léo, vậy sao Sài lại là người ... không có cá tính, không có nề nếp, không có chiều sâu.<br/>ôi chị Châu, trong cái khôn khéo của người Hà Thành, lại có ngôn từ của mấy mụ hàng tôm hàng cá :| hỏi chấm thật sự ! ",,,1,0
54877773,Vòm Rừng,Richard Powers,"Powers, Richard",Hà Uy Linh,"=""""","=""""",3,4.11,I Love Books,Paperback,664,2020,2018,2025/12/26,2025/09/25,,,read,[ebook] sách được review hay lắm nhưng mình không phải fan của mấy bạn có lý tưởng với thiên nhiên ,,,1,0
59418613,Bà tổng thống trước họng súng,Jeffrey Archer,"Archer, Jeffrey",Kiều  Hòa,"=""6043261022""","=""9786043261028""",0,3.82,Thanh Niên,Paperback,488,2021,1977,,2025/12/20,to-read,to-read (#245),to-read,,,,0,0
58344805,"Đứa Con Gái Hoang Đàng (Kane & Abel, #2)",Jeffrey Archer,"Archer, Jeffrey",Trang KNT,"=""""","=""""",0,3.98,Lao Động & Bách Việt,Hardcover,836,2021,1982,,2025/12/20,to-read,to-read (#244),to-read,,,,0,0
204254940,Bảy người chồng của Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",Tran Kien,"=""6043222353""","=""9786043222357""",0,4.39,"NXB Thanh Niên, San Hô Books",Paperback,408,2023,2017,,2025/12/20,to-read,to-read (#243),to-read,,,,0,0
12349043,Trúng số độc đắc,Vũ Trọng Phụng,"Phụng, Vũ Trọng",,"=""""","=""""",4,4.16,NXB Lao Động,,334,2010,,2025/06/05,2024/05/05,,,read,"[Ebook]<br/>Giai đoạn này cũng có cái hay. <br/>Sao có nhiều câu đọc quen quen, hoá ra là người ta xài lại văn của các cụ từ ngày xưa.",,,1,0
17742856,Bảy nàng con gái của Eva,Bryan Sykes,"Sykes, Bryan","Ngô Toàn, Mai Hiền","=""""","=""""",3,4.00,NXB Trẻ,Paperback,326,2011,2001,2025/12/12,2025/11/27,,,read,,,,1,0
60980453,Mắt nào xanh nhất,Toni Morrison,"Morrison, Toni",Thiên Nga,"=""6043485826""","=""9786043485820""",0,4.13,NXB Phụ nữ Việt Nam & San Hô,Hardcover,256,2022,1970,,2025/12/03,to-read,to-read (#242),to-read,,,,0,0
13640618,Đêm thiêng,Tahar Ben Jelloun,"Jelloun, Tahar Ben",Trịnh Xuân Hoành,"=""""","=""""",3,3.55,Bookaholic Club,ebook,187,2011,1987,2025/11/30,2025/11/22,,,read,"Có phải sách của bên Arab viết hay bị rate thấp vì chính họ phản đối nội dung, phơi bày những điều không được hay ho lắm ra thế giới?<br/>Xong, vì họ bị kìm kẹp, nên sách nhắc tới tình dục … kha khá, không phải sex, mà là nhu cầu của con người.<br/>3.5 tại giọng văn cũng hay ấy ",,,1,0
215500547,Cây Brooklyn Xanh Biếc,Betty  Smith,"Smith, Betty",Khánh Trang,"=""6043816903""","=""9786043816907""",0,4.30,1980 Books & NXB Thanh Niên,Paperback,584,2022,1943,,2025/11/29,to-read,to-read (#241),to-read,,,,0,0
243813714,Giun Đất Mù Giữa Mê Cung,Veeraporn Nitiprapha,"Nitiprapha, Veeraporn",Minh Quan,"=""6326233690""","=""9786326233698""",0,3.91,NXB Phụ Nữ Việt Nam,Paperback,392,2025,2013,,2025/11/29,to-read,to-read (#240),to-read,,,,0,0
32942920,Con hủi,Helena Mniszkówna,"Mniszkówna, Helena",,"=""6046954339""","=""9786046954330""",0,3.85,Trí Việt và NXB Văn học,Hardcover,650,2015,1909,,2025/11/29,to-read,to-read (#239),to-read,,,,0,0
228058583,Bảy kẻ khùng điên,Roberto Arlt,"Arlt, Roberto",Trần Tiễn Cao Đăng,"=""6044933962""","=""9786044933962""",0,3.90,NXB Hội Nhà Văn,Paperback,430,2024,1929,,2025/11/29,to-read,to-read (#238),to-read,,,,0,0
221251872,When the Cranes Fly South,Lisa Ridzén,"Ridzén, Lisa",Alice Menzies,"=""""","=""9798217006731""",0,4.34,Vintage,Paperback,320,2025,2024,,2025/11/28,to-read,to-read (#237),to-read,,,,0,0
53376579,Bệnh Trắng,Karel Čapek,"Čapek, Karel",Bình Slavická,"=""6049959463""","=""9786049959462""",0,4.22,Tao Đàn & NXB Hội Nhà Văn,Paperback,146,2020,1936,,2025/11/27,to-read,to-read (#236),to-read,,,,0,0
239408888,Kẻ trộm cà chua,Barbara Constantine,"Constantine, Barbara",Nguyễn Thị Tươi,"=""""","=""""",0,3.90,NXB Phụ Nữ Việt Nam,Paperback,248,2025,2010,,2025/11/27,to-read,to-read (#235),to-read,,,,0,0
237847111,"Aristotle Và Dante Khám Phá Bí Mật Của Vũ Trụ (Aristotle và Dante, #1)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",Jack Frogg,"=""6042243594""","=""9786042243599""",0,4.28,Wings Books; NXB Kim Đồng,Paperback,368,2025,2012,,2025/11/27,to-read,to-read (#234),to-read,,,,0,0
12134277,Cơ sở văn hóa Việt Nam,Trần Ngọc Thêm,"Thêm, Trần Ngọc",,"=""""","=""""",5,4.03,NXB Giáo dục,,336,1999,,2025/11/27,2025/11/23,,,read,"“- Tổ quốc đối với người Việt Nam là một khối âm dương: Đất Nước.<br/>- Người Việt Nam là dân tộc sống bằng tương lai (tinh thần lạc quan): thời trẻ khổ thì tin rằng về già sẽ sướng, suốt đời khổ thì tin rằng con mình sẽ sướng.<br/>- Lịch sử Việt Nam là lịch sử đắp đê.<br/>- Lúc có chuyện thì đoàn kết, quan tâm nhau, lúc yên bình thì soi mói, nói xấu nhau ",true,,1,0
25025737,Chuyện kể trên điện thoại,Gianni Rodari,"Rodari, Gianni",,"=""""","=""""",0,4.26,Kim Đồng,Unknown Binding,,,,,2025/11/27,to-read,to-read (#233),to-read,,,,0,0
13519527,Zarathustra đã nói như thế,Friedrich Nietzsche,"Nietzsche, Friedrich",Trần Xuân Kiêm,"=""""","=""""",0,4.07,Nhã Nam & Nxb. Văn Học,Paperback,545,2008,1883,,2025/11/24,to-read,to-read (#232),to-read,,,,0,0
58616488,Nghệ Sĩ Dương Cầm,Wladyslaw Szpilman,"Szpilman, Wladyslaw",,"=""""","=""""",3,4.26,Văn Hóa Thông Tin,Unknown Binding,334,2004,1946,2025/11/23,2024/03/31,,,read,"Oh, một góc nhìn mới.<br/>Sống giữa trận địa luôn. ",,,1,0
20416847,Giamilia - Truyện núi đồi và thảo nguyên,Chingiz Aitmatov,"Aitmatov, Chingiz","Phạm Mạnh Hùng, Nguyễn Ngọc Bằng, Cao Xuân Hạo, Bồ Xuân Tiến","=""""","=""""",0,3.90,NXB Cầu Vồng,Hardcover,269,1984,1958,2025/11/20,2017/11/29,,,read,,,,1,0
13496913,Xứ tuyết,Yasunari Kawabata,"Kawabata, Yasunari","Ngô Văn Phú, Vũ Đình Bình","=""""","=""""",0,3.56,NXB Hội Nhà Văn,Paperback,231,1995,1948,,2025/11/20,to-read,to-read (#231),to-read,,,,0,0
33952109,Miếng Da Lừa,Honoré de Balzac,"Balzac, Honoré de",Trọng Đức,"=""""","=""""",3,3.68,NXB Văn học,Paperback,410,2015,1831,2025/11/18,2025/10/12,,,read,,,,1,0
13412935,Cô Gái Có Hình Xăm Rồng,Stieg Larsson,"Larsson, Stieg",Trần Đĩnh,"=""""","=""""",3,4.18,Nxb. Phụ Nữ,Paperback,552,2010,2005,2025/11/11,2024/10/15,,,read,"Trừ đi 50 trang cuối.<br/>Ủa, mình tò mò về “cô gái có hình xăm rồng” cơ mà?<br/>Nội dung nó … không giải thích được về Lis.<br/>3.5 thôi, <br/>Phần lật mặt Martin bị đột ngột quá, nó hơi chưng hửng ấy, lẽ ra phải nghi ngờ nhiều hơn.",true,,1,0
